#Photon energy	Wavelength	ep1	ep2	n	k
#eV	m				
3.214e-01	3.858e-06	-7.369e+02	1.104e+02	2.028e+00	2.722e+01
3.195e-01	3.881e-06	-7.455e+02	1.124e+02	2.052e+00	2.738e+01
3.176e-01	3.904e-06	-7.543e+02	1.143e+02	2.076e+00	2.754e+01
3.156e-01	3.928e-06	-7.633e+02	1.164e+02	2.100e+00	2.771e+01
3.137e-01	3.952e-06	-7.724e+02	1.184e+02	2.125e+00	2.787e+01
3.118e-01	3.976e-06	-7.817e+02	1.206e+02	2.150e+00	2.804e+01
3.099e-01	4.001e-06	-7.911e+02	1.227e+02	2.176e+00	2.821e+01
3.080e-01	4.026e-06	-8.007e+02	1.250e+02	2.202e+00	2.838e+01
3.061e-01	4.051e-06	-8.105e+02	1.273e+02	2.228e+00	2.856e+01
3.042e-01	4.076e-06	-8.204e+02	1.296e+02	2.255e+00	2.873e+01
3.023e-01	4.102e-06	-8.306e+02	1.320e+02	2.283e+00	2.891e+01
3.003e-01	4.128e-06	-8.409e+02	1.345e+02	2.311e+00	2.909e+01
2.984e-01	4.155e-06	-8.514e+02	1.370e+02	2.340e+00	2.927e+01
2.965e-01	4.181e-06	-8.621e+02	1.396e+02	2.369e+00	2.946e+01
2.946e-01	4.209e-06	-8.730e+02	1.422e+02	2.398e+00	2.964e+01
